29	3
287.406	0.512021	-7.01845e-07
288.445	0.479987	-3.77401e-05
299.306	0.504022	1.33383e-05
310.365	0.526702	6.2148e-05
318.344	0.52901	9.01451e-05
322.751	0.497929	5.88036e-05
328.916	0.485356	8.09829e-05
330.356	0.42947	2.53518e-05
335.264	0.392249	1.01814e-05
341.842	0.364899	2.2068e-05
341.674	0.298528	1.23193e-06
338.952	0.188886	-0.000122774
335.788	0.0919548	-0.000182731
334.582	0.00562411	-0.000220134
328.529	-0.122924	-0.000327427
314.256	-0.300639	-0.000501951
312.934	-0.397825	-0.00054828
307.643	-0.516467	-0.00063257
302.276	-0.641168	-0.000733742
292.708	-0.792409	-0.000892231
290.322	-0.891975	-0.000971759
278.521	-1.05765	-0.00117883
278.598	-1.13575	-0.00124806
272.946	-1.24699	-0.00137335
277.896	-1.29532	-0.00142771
274.809	-1.38356	-0.00153716
281.013	-1.40548	-0.00155014
285.048	-1.44369	-0.00160274
279.855	-1.53262	-0.00172869
