29	3
416.298	-1.41425	0.0015586
412.083	-1.3446	0.001454
422.248	-1.36224	0.00148968
434.818	-1.39512	0.00155398
441.291	-1.38397	0.00155246
435.007	-1.27895	0.00139338
441.007	-1.26336	0.00140569
429.243	-1.11543	0.00119101
429.959	-1.04714	0.00111816
431.484	-0.983934	0.00106637
424.724	-0.870673	0.000962618
410.265	-0.680366	0.000702429
401.959	-0.546823	0.000578399
394.3	-0.416613	0.000467562
381.14	-0.238607	0.000276109
356.391	0.0110586	-1.84634e-05
352.859	0.123148	-8.92075e-05
344.207	0.264381	-0.000210146
334.018	0.421198	-0.000363024
317.617	0.619352	-0.000599513
313.327	0.731507	-0.00069896
290.363	0.974679	-0.00103696
287.098	1.07601	-0.00114547
275.354	1.22999	-0.00134399
281.264	1.27143	-0.00138619
271.531	1.40688	-0.00157789
279.291	1.41779	-0.00157176
282.935	1.45882	-0.00162938
268.161	1.6166	-0.00187718
