21	3
231.854	-1.03885	0.00190077
230.522	-0.973001	0.00177907
243.741	-1.00441	0.00182643
249.578	-0.971935	0.00177224
262.568	-0.966977	0.00175979
272.805	-0.909836	0.00165254
286.251	-0.835022	0.00151095
300.74	-0.721197	0.00130974
320.786	-0.559802	0.00101094
340.079	-0.324221	0.000586574
361.335	-0.0194145	3.07005e-05
384.698	0.282294	-0.000521931
405.886	0.558865	-0.00102371
426.386	0.747357	-0.00136476
446.39	0.869462	-0.00159563
462.765	0.943903	-0.00173568
475.558	0.992669	-0.00181965
485.49	1.03448	-0.00189781
496.814	1.03454	-0.00190073
503.848	1.0541	-0.00193611
512.114	1.04965	-0.00192976
